Problem,time,z3 Result
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0099.smt2,0.041291,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0100.smt2,0.048094,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0101.smt2,0.036322,sat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0102.smt2,0.067099,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0103.smt2,0.048556,unsat
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0104.smt2,0.054778,sat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0010.smt2,0.012621,sat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0012.smt2,0.014016,sat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0013.smt2,0.009509,sat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0015.smt2,0.004386,sat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0016.smt2,0.009889,unsat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0017.smt2,0.034507,sat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0018.smt2,0.024885,unsat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0020.smt2,0.012549,unsat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0022.smt2,0.005148,sat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0024.smt2,0.007477,sat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0025.smt2,0.021428,unsat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0026.smt2,0.011311,sat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0028.smt2,0.010458,sat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0029.smt2,0.003945,unsat
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0030.smt2,0.026558,unsat
