Problem,nVars,maxVars,nAPIs,time,iaTime,testingTime,usCoreTime,parsingTime,decompositionTime,miniSATTime,miniSATVars,miniSATClauses,miniSATCalls,raSATClauses,decomposedLearnedClauses,UNSATLearnedClauses,unknownLearnedClauses,result,raSATResult,EQ,NEQ
zankl/matrix-5-all-11.smt2,107,70,200,500.176,490.079,1.50077,0.007999,0.247963,5.68215,0.021997,1165.0,1895.0,734.0,2035.0,1729.0,288.0,18.0,unknown,Timeout,0,0
zankl/matrix-5-all-12.smt2,157,60,325,500.188,477.852,3.22449,0.031995,1.29481,4.91326,0.123979,1910.0,4242.0,1808.0,4522.0,2986.0,1514.0,22.0,unknown,Timeout,0,0
zankl/matrix-5-all-13.smt2,503,102,1228,505.728,491.205,0.280957,0.0,0.305957,0.003998,0.0,1787.0,81.0,29.0,123.0,123.0,0.0,0.0,unknown,Timeout,0,0
zankl/matrix-5-all-14.smt2,172,25,249,500.003,351.152,0.400931,1.68175,18.4432,0.068985,6.56097,861.0,176628.0,53338.0,176720.0,897.0,175658.0,165.0,unknown,Timeout,0,0
zankl/matrix-5-all-15.smt2,203,107,665,500.389,479.055,4.52031,0.002,0.913859,4.45233,0.023997,1444.0,1527.0,785.0,1653.0,1155.0,106.0,392.0,unknown,Timeout,0,0
zankl/matrix-5-all-16.smt2,274,107,1028,500.02,479.385,1.31779,0.012998,1.39678,3.63346,0.014998,1530.0,922.0,460.0,1060.0,461.0,584.0,15.0,unknown,Timeout,0,0
zankl/matrix-5-all-2.smt2,173,57,355,500.156,490.455,3.06852,0.088984,2.25567,1.42978,0.125983,1342.0,3892.0,2463.0,4192.0,1718.0,2470.0,4.0,unknown,Timeout,0,0
zankl/matrix-5-all-17.smt2,884,422,2231,1910.79,1064.86,0.028996,0.0,0.090987,501.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,unknown,Timeout,0,0
zankl/matrix-5-all-18.smt2,107,90,184,501.274,476.636,0.316955,0.0,0.009999,21.7207,0.002999,455.0,258.0,83.0,328.0,328.0,0.0,0.0,unknown,Timeout,0,0
zankl/matrix-5-all-19.smt2,126,100,421,500.133,492.809,1.96171,0.018997,0.737883,0.89587,0.075989,1351.0,2620.0,1272.0,2908.0,1691.0,1059.0,158.0,unknown,Timeout,0,0
