Problem,nVars,maxVars,nAPIs,time,iaTime,testingTime,usCoreTime,parsingTime,decompositionTime,miniSATTime,miniSATVars,miniSATClauses,miniSATCalls,raSATClauses,decomposedLearnedClauses,UNSATLearnedClauses,unknownLearnedClauses,result,raSATResult,EQ,NEQ
zankl/matrix-2-all-2.smt2,57,10,107,500.002,191.287,8.37875,2.6226,22.9835,0.133985,61.8095,2270.0,714729.0,252473.0,714749.0,4263.0,687974.0,22512.0,sat,Timeout,0,0
zankl/matrix-2-all-15.smt2,47,26,167,500.004,408.869,17.4203,5.28419,13.268,0.032992,12.5851,816.0,936351.0,90158.0,936409.0,1404.0,934972.0,33.0,unknown,Timeout,0,0
zankl/matrix-2-all-16.smt2,64,26,257,500.008,343.483,69.5804,3.44249,12.3211,0.044994,6.59796,957.0,598126.0,49857.0,598208.0,1447.0,596717.0,44.0,unknown,Timeout,0,0
zankl/matrix-2-all-17.smt2,206,86,581,500.539,424.162,29.61448,0.017,0.789883,35.4166,0.020992,2796.0,3000.0,989.0,5283.0,2466.0,2816.0,1.0,unknown,Timeout,0,0
zankl/matrix-2-all-18.smt2,26,18,46,500.002,442.125,1.40077,5.59414,12.4322,0.375932,21.7517,890.0,660578.0,181185.0,660618.0,1824.0,656816.0,1978.0,unknown,Timeout,0,0
zankl/matrix-2-all-19.smt2,27,22,94,500.003,411.646,1.88671,5.25319,15.9655,0.14098,39.8428,2215.0,937174.0,177568.0,937704.0,4701.0,930505.0,2498.0,unknown,Timeout,0,0
zankl/matrix-2-all-20.smt2,26,16,127,500.003,344.315,0.377944,3.0835,12.7191,0.017998,16.3975,1011.0,612768.0,138500.0,613424.0,1990.0,610971.0,463.0,unknown,Timeout,0,0
zankl/matrix-2-all-21.smt2,15,14,30,500.003,469.554,4.48832,1.22579,5.82814,1.04684,11.1634,1107.0,165504.0,119146.0,165532.0,2396.0,157076.0,6060.0,unknown,Timeout,0,0
zankl/matrix-2-all-23.smt2,32,12,46,0.008,0.001,0.0,0.0,0.0,0.0,0.0,148.0,0.0,4.0,2.0,0.0,2.0,0.0,unknown,unsat,0,0
zankl/matrix-2-all-25.smt2,26,6,46,500.002,160.897,1.45279,3.39052,40.8678,0.078987,123.033,2070.0,707231.0,644798.0,707267.0,4179.0,700116.0,2972.0,unknown,Timeout,0,0
zankl/matrix-2-all-27.smt2,32,14,66,0.012998,0.004,0.0,0.0,0.0,0.0,0.0,194.0,0.0,4.0,4.0,0.0,4.0,0.0,unknown,unsat,0,0
zankl/matrix-2-all-3.smt2,57,14,107,500.002,316.583,1.03886,6.30507,66.4949,0.040992,56.8345,1346.0,1017540.0,329595.0,1017620.0,2695.0,1014610.0,319.0,sat,Timeout,0,0
zankl/matrix-2-all-4.smt2,45,12,81,0.19797,0.058993,0.085987,0.0,0.001,0.005998,0.0,254.0,212.0,65.0,256.0,256.0,0.0,0.0,sat,sat,0,0
zankl/matrix-2-all-5.smt2,17,16,31,0.470928,0.282956,0.067989,0.0,0.002,0.103985,0.0,230.0,338.0,92.0,370.0,370.0,0.0,0.0,unknown,sat,0,0
zankl/matrix-2-all-6.smt2,17,16,27,14.7098,8.3257,4.0314,0.058994,0.647919,0.195967,1.00584,1028.0,17313.0,13263.0,23123.0,2093.0,15726.0,5304.0,unknown,sat,0,0
zankl/matrix-2-all-7.smt2,21,16,84,500.002,361.745,4.40635,8.82364,20.0259,0.179966,67.7887,2431.0,1649310.0,231588.0,1649680.0,5054.0,1638480.0,6150.0,unknown,Timeout,0,0
zankl/matrix-2-all-8.smt2,17,16,25,0.451931,0.248963,0.063987,0.0,0.0,0.132985,-5.55112e-17,224.0,332.0,92.0,364.0,364.0,0.0,0.0,sat,sat,0,0
zankl/matrix-2-all-9.smt2,17,16,30,500.001,402.996,0.574923,6.16109,12.1821,0.253953,55.5826,837.0,802463.0,263796.0,802495.0,1702.0,800290.0,503.0,sat,Timeout,0,0
zankl/matrix-3-all-01.smt2,84,29,191,500.004,412.962,0.95188,2.58461,26.6029,0.404933,9.21057,1893.0,395365.0,59873.0,395507.0,3789.0,391687.0,31.0,unknown,Timeout,0,0
zankl/matrix-3-all-10.smt2,74,15,109,500.002,249.992,0.39693,3.72142,30.9534,0.047991,45.4351,1051.0,583209.0,196852.0,583267.0,1846.0,581160.0,261.0,unknown,Timeout,0,0
zankl/matrix-3-all-11.smt2,87,47,297,500.03,382.334,111.667,2.38562,4.86228,0.472926,1.64774,1040.0,264355.0,12849.0,264473.0,1410.0,263062.0,1.0,unknown,Timeout,0,0
zankl/matrix-3-all-12.smt2,118,47,458,500.047,245.436,270.806,1.57576,3.64244,0.510921,0.691913,1350.0,173314.0,5040.0,173460.0,1627.0,171819.0,14.0,unknown,Timeout,0,0
zankl/matrix-3-all-13.smt2,380,170,1013,518.931,308.973,0.513925,0.0,0.119978,199.334,0.001,1447.0,90.0,28.0,108.0,108.0,0.0,0.0,unknown,Timeout,0,0
zankl/matrix-3-all-14.smt2,47,36,82,500.012,492.674,0.284956,1.3568,1.07784,2.97456,0.469935,553.0,83271.0,8665.0,83349.0,953.0,82396.0,0.0,unknown,Timeout,0,0
zankl/matrix-3-all-15.smt2,52,42,177,500.009,478.98,0.485924,2.84855,4.7183,0.087986,3.40247,973.0,366797.0,28242.0,366864.0,1743.0,364941.0,180.0,unknown,Timeout,0,0
zankl/matrix-3-all-16.smt2,47,30,223,500.002,458.372,0.231966,1.96967,6.16409,0.032998,3.15854,794.0,270792.0,31585.0,270866.0,1208.0,269651.0,7.0,unknown,Timeout,0,0
zankl/matrix-3-all-17.smt2,28,27,52,500.064,492.309,0.798882,0.130986,0.499923,5.63115,0.232964,776.0,11779.0,4506.0,11833.0,1512.0,10178.0,143.0,unknown,Timeout,0,0
zankl/matrix-3-all-19.smt2,59,20,82,0.019998,0.005,0.0,0.0,0.0,0.0,0.0,282.0,0.0,4.0,2.0,0.0,2.0,0.0,unknown,unsat,0,0
zankl/matrix-3-all-2.smt2,47,27,89,2.89256,2.12667,0.383943,0.0,0.01,0.325951,0.001,398.0,452.0,132.0,524.0,524.0,0.0,0.0,sat,sat,0,0
zankl/matrix-3-all-21.smt2,47,9,82,500.002,169.458,3.22852,1.53278,31.1793,0.171976,41.1078,3045.0,248860.0,217151.0,248932.0,6298.0,238893.0,3741.0,unknown,Timeout,0,0
zankl/matrix-3-all-23.smt2,59,23,117,0.017998,0.006999,0.0,0.0,0.0,0.0,0.0,352.0,0.0,4.0,4.0,0.0,4.0,0.0,unknown,unsat,0,0
zankl/matrix-3-all-3.smt2,105,15,193,500.002,205.675,0.796898,0.562903,18.0843,0.036991,11.8822,1482.0,120122.0,86703.0,120162.0,2457.0,116808.0,897.0,unknown,Timeout,0,0
zankl/matrix-3-all-4.smt2,105,21,193,500.002,343.698,1.34979,6.43906,47.0219,0.143985,23.9654,1732.0,825951.0,108283.0,826109.0,2941.0,822319.0,849.0,unknown,Timeout,0,0
zankl/matrix-3-all-5.smt2,81,20,142,1.20382,0.596914,0.386936,0.0,0.021998,0.032996,-2.22045e-16,539.0,529.0,159.0,633.0,633.0,0.0,0.0,sat,sat,0,0
zankl/matrix-3-all-6.smt2,40,30,156,500.002,470.889,1.53772,3.39052,7.61283,0.150983,6.63696,1602.0,470470.0,41382.0,470547.0,3188.0,466378.0,981.0,unknown,Timeout,0,0
zankl/matrix-3-all-7.smt2,75,20,240,500.001,396.14,0.63191,5.41117,17.3464,0.059995,11.0023,1227.0,762575.0,66564.0,762665.0,2140.0,760520.0,5.0,unknown,Timeout,0,0
zankl/matrix-3-all-8.smt2,75,59,139,500.92,420.758,0.991861,0.001,0.10098,76.3934,0.021996,812.0,1450.0,438.0,1544.0,1278.0,238.0,28.0,unknown,Timeout,0,0
zankl/matrix-3-all-9.smt2,215,44,542,500.151,493.187,0.256967,0.017995,1.65975,0.007997,0.052991,971.0,3607.0,2120.0,3631.0,491.0,3123.0,17.0,unknown,Timeout,0,0
zankl/matrix-4-all-01.smt2,139,48,275,500.058,495.067,0.167967,0.063991,2.55562,0.007999,0.246954,674.0,11213.0,8277.0,11253.0,613.0,10618.0,22.0,unknown,Timeout,0,0
zankl/matrix-4-all-10.smt2,104,54,276,500.273,446.794,1.49276,0.037993,0.914864,45.3261,0.063992,1234.0,3357.0,1359.0,3533.0,1745.0,1788.0,0.0,unknown,Timeout,0,0
zankl/matrix-4-all-11.smt2,129,74,387,503.219,352.185,1.01883,0.0,0.067987,144.116,0.004998,824.0,536.0,155.0,616.0,616.0,0.0,0.0,unknown,Timeout,0,0
zankl/matrix-4-all-12.smt2,200,50,455,500.137,440.431,27.6538,0.10498,3.43749,4.65229,0.210964,1761.0,10601.0,3087.0,10815.0,2432.0,8382.0,1.0,unknown,Timeout,0,0
zankl/matrix-4-all-13.smt2,152,38,273,500.011,360.02,0.927844,0.908859,31.5652,0.95885,3.05352,1629.0,41703.0,39289.0,41960.0,2664.0,39270.0,26.0,unknown,Timeout,0,0
zankl/matrix-4-all-14.smt2,185,62,328,500.056,477.791,12.5361,0.151977,3.02356,3.2565,0.500931,1891.0,16791.0,4598.0,17011.0,3073.0,13921.0,17.0,unknown,Timeout,0,0
zankl/matrix-4-all-15.smt2,215,48,524,500.027,403.164,1.13483,1.5128,13.431,0.292952,1.14183,1715.0,101539.0,10902.0,101725.0,2103.0,99611.0,11.0,unknown,Timeout,0,0
zankl/matrix-4-all-16.smt2,74,48,141,500.034,488.066,1.66072,0.215968,1.80474,6.93296,0.340951,1389.0,10723.0,4196.0,10867.0,2400.0,8349.0,118.0,unknown,Timeout,0,0
zankl/matrix-4-all-17.smt2,119,104,213,500.346,384.741,66.6089,0.0,0.116982,51.3662,0.015999,1078.0,1339.0,374.0,1523.0,1523.0,0.0,0.0,unknown,Timeout,0,0
zankl/matrix-4-all-18.smt2,134,96,258,501.189,492.088,0.592912,0.0,0.048994,5.8271,0.004999,766.0,674.0,188.0,758.0,758.0,0.0,0.0,unknown,Timeout,0,0
zankl/matrix-4-all-19.smt2,344,70,851,501.216,491.301,0.593904,0.001,0.705897,0.010998,0.007999,1431.0,601.0,204.0,641.0,556.0,80.0,5.0,unknown,Timeout,0,0
zankl/matrix-4-all-2.smt2,119,42,250,19.3041,12.4901,5.11923,0.0,0.059989,0.70689,0.000999,821.0,714.0,227.0,904.0,904.0,0.0,0.0,unknown,sat,0,0
zankl/matrix-4-all-20.smt2,118,20,172,500.002,313.569,0.536935,1.53976,25.846,0.073991,10.6944,1190.0,192864.0,102824.0,192934.0,1938.0,190774.0,222.0,unknown,Timeout,0,0
zankl/matrix-4-all-21.smt2,139,74,463,500.102,106.036,430.935,0.057993,0.611902,3.8944,0.033995,1648.0,6288.0,696.0,6488.0,2190.0,4295.0,3.0,unknown,Timeout,0,0
zankl/matrix-4-all-22.smt2,188,74,715,500.202,134.935,391.668,0.0,0.837859,3.85441,0.024996,2005.0,2079.0,552.0,2329.0,2329.0,0.0,0.0,unknown,Timeout,0,0
zankl/matrix-4-all-23.smt2,606,282,1563,674.113,413.535,0.112984,0.0,0.055991,226.476,0.0,2173.0,4.0,3.0,8.0,8.0,0.0,0.0,unknown,Timeout,0,0
zankl/matrix-4-all-24.smt2,74,60,128,500.206,474.324,0.634903,0.124976,0.115986,24.3423,0.014999,622.0,6182.0,656.0,6286.0,855.0,5431.0,0.0,unknown,Timeout,0,0
zankl/matrix-4-all-25.smt2,85,68,286,500.025,494.038,0.585905,0.217968,1.83671,0.172968,0.330952,1007.0,36099.0,5378.0,36236.0,1443.0,34792.0,1.0,unknown,Timeout,0,0
zankl/matrix-4-all-26.smt2,74,48,345,500.07,483.848,0.521908,0.745875,2.77859,0.197973,0.552906,943.0,76768.0,6749.0,76880.0,1144.0,75735.0,1.0,unknown,Timeout,0,0
zankl/matrix-4-all-27.smt2,45,44,80,500.088,422.191,1.20482,0.0,0.036992,73.8738,0.004999,625.0,918.0,251.0,1000.0,1000.0,0.0,0.0,unknown,Timeout,0,0
zankl/matrix-4-all-29.smt2,94,30,128,0.035994,0.010998,0.0,0.0,0.002,0.0,0.0,444.0,0.0,4.0,2.0,0.0,2.0,0.0,unknown,unsat,0,0
zankl/matrix-4-all-3.smt2,139,73,244,35.5486,27.8578,7.23991,0.0,0.015997,0.188969,0.0,571.0,320.0,95.0,376.0,376.0,0.0,0.0,unknown,sat,0,0
zankl/matrix-4-all-31.smt2,74,12,128,500.003,168.532,52.8749,0.005998,19.52,1.01586,9.45357,1334.0,88249.0,86643.0,88365.0,2289.0,1196.0,84880.0,unknown,Timeout,0,0
zankl/matrix-4-all-33.smt2,94,34,182,0.051992,0.019997,0.0,0.0,0.0,0.0,0.0,552.0,0.0,4.0,4.0,0.0,4.0,0.0,unknown,unsat,0,0
zankl/matrix-4-all-4.smt2,105,68,235,500.519,406.225,6.28106,0.014995,0.422937,85.2021,0.033995,1412.0,3353.0,765.0,3553.0,2147.0,1405.0,1.0,unknown,Timeout,0,0
zankl/matrix-4-all-5.smt2,130,34,797,500.018,456.288,1.99971,0.046986,12.598,0.052989,0.160984,1575.0,7121.0,3328.0,7287.0,1296.0,5986.0,5.0,unknown,Timeout,0,0
zankl/matrix-4-all-6.smt2,79,54,157,500.033,489.694,1.3808,0.245965,1.3788,5.24721,0.218961,1194.0,11264.0,3128.0,11404.0,1952.0,9381.0,71.0,unknown,Timeout,0,0
zankl/matrix-4-all-7.smt2,178,97,260,185.63,178.105,6.533,0.0,0.028999,0.191977,0.001999,648.0,356.0,106.0,420.0,420.0,0.0,0.0,unknown,sat,0,0
zankl/matrix-4-all-8.smt2,110,53,169,500.034,464.215,33.9868,0.082982,1.1548,1.78574,0.186973,1291.0,6767.0,2879.0,6871.0,2071.0,4472.0,328.0,unknown,Timeout,0,0
zankl/matrix-4-all-9.smt2,193,61,263,0.347947,0.231967,0.006999,0.0,0.001999,0.0,-1.38778e-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,unknown,sat,0,0
zankl/matrix-5-all-01.smt2,132,47,276,500.051,482.784,6.01209,0.02,0.874845,6.41503,0.112982,1926.0,3707.0,1133.0,3947.0,3075.0,667.0,205.0,unknown,Timeout,0,0
zankl/matrix-5-all-10.smt2,334,77,569,500.1,449.391,24.4223,0.223969,4.01338,1.13784,0.293959,1757.0,21497.0,3772.0,21761.0,1780.0,19981.0,0.0,unknown,Timeout,0,0
zankl/matrix-5-all-11.smt2,107,70,200,500.403,478.462,2.53661,0.006999,0.332958,17.2324,0.038994,1201.0,2044.0,726.0,2206.0,1825.0,344.0,37.0,unknown,Timeout,0,0
zankl/matrix-5-all-12.smt2,157,60,325,500.162,352.691,151.535,0.150979,1.66972,4.14638,0.124978,2178.0,8620.0,1318.0,8896.0,3392.0,5492.0,12.0,unknown,Timeout,0,0
zankl/matrix-5-all-13.smt2,503,102,1228,514.907,500.227,0.302955,0.0,0.426934,0.005999,0.0,1787.0,94.0,29.0,132.0,132.0,0.0,0.0,unknown,Timeout,0,0
zankl/matrix-5-all-14.smt2,172,25,249,500.009,346.814,0.149971,0.557916,17.0614,0.039994,2.07767,709.0,53721.0,51977.0,53789.0,648.0,53140.0,1.0,unknown,Timeout,0,0
zankl/matrix-5-all-15.smt2,203,107,665,500.261,468.569,2.51762,0.031995,1.15583,20.8418,0.036996,1364.0,2392.0,763.0,2564.0,1016.0,1548.0,0.0,unknown,Timeout,0,0
zankl/matrix-5-all-16.smt2,274,107,1028,500.785,450.967,6.26404,0.0,2.20367,19.628,0.021995,2186.0,1601.0,443.0,1861.0,1861.0,0.0,0.0,unknown,Timeout,0,0
zankl/matrix-5-all-2.smt2,173,57,355,106.385,78.903,22.9455,0.0,0.234971,2.91655,0.010997,1304.0,1246.0,389.0,1552.0,1552.0,0.0,0.0,unknown,sat,0,0
zankl/matrix-5-all-17.smt2,884,422,2231,1894.74,1066.18,0.026996,0.0,0.086986,490.927,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,unknown,Timeout,0,0
